factor,factor_value,conditional_ntu,selected_main_factor,other_features
rw_ntu,67.75,0.2865953774,False,held at training medians; current and lagged terms moved together
rw_ntu,73,0.2873167265,False,held at training medians; current and lagged terms moved together
rw_ntu,78.25,0.2879889757,False,held at training medians; current and lagged terms moved together
rw_ntu,83.5,0.2886184063,False,held at training medians; current and lagged terms moved together
rw_ntu,88.75,0.2892101651,False,held at training medians; current and lagged terms moved together
rw_ntu,94,0.2897685224,False,held at training medians; current and lagged terms moved together
rw_ntu,99.25,0.2902970607,False,held at training medians; current and lagged terms moved together
rw_ntu,104.5,0.2907988143,False,held at training medians; current and lagged terms moved together
rw_ntu,109.75,0.2912763767,False,held at training medians; current and lagged terms moved together
rw_ntu,115,0.2917319814,False,held at training medians; current and lagged terms moved together
rw_ntu,120.25,0.2921675658,False,held at training medians; current and lagged terms moved together
rw_ntu,125.5,0.2925848215,False,held at training medians; current and lagged terms moved together
rw_ntu,130.75,0.2929852342,False,held at training medians; current and lagged terms moved together
rw_ntu,136,0.2933701157,False,held at training medians; current and lagged terms moved together
rw_clr,121,0.3032948471,True,held at training medians; current and lagged terms moved together
rw_clr,147.7041667,0.2966166169,True,held at training medians; current and lagged terms moved together
rw_clr,174.4083333,0.2910705519,True,held at training medians; current and lagged terms moved together
rw_clr,201.1125,0.2863308551,True,held at training medians; current and lagged terms moved together
rw_clr,227.8166667,0.2821944941,True,held at training medians; current and lagged terms moved together
rw_clr,254.5208333,0.2785264165,True,held at training medians; current and lagged terms moved together
rw_clr,281.225,0.2752322621,True,held at training medians; current and lagged terms moved together
rw_clr,307.9291667,0.2722435177,True,held at training medians; current and lagged terms moved together
rw_clr,334.6333333,0.2695088743,True,held at training medians; current and lagged terms moved together
rw_clr,361.3375,0.2669889173,True,held at training medians; current and lagged terms moved together
rw_clr,388.0416667,0.2646527179,True,held at training medians; current and lagged terms moved together
rw_clr,414.7458333,0.2624755625,True,held at training medians; current and lagged terms moved together
rw_clr,441.45,0.2604373944,True,held at training medians; current and lagged terms moved together
rw_clr,468.1541667,0.2585217142,True,held at training medians; current and lagged terms moved together
rw_clr,494.8583333,0.2567147868,True,held at training medians; current and lagged terms moved together
rw_clr,521.5625,0.2550050572,True,held at training medians; current and lagged terms moved together
rw_clr,548.2666667,0.2533827133,True,held at training medians; current and lagged terms moved together
rw_clr,574.9708333,0.2518393523,True,held at training medians; current and lagged terms moved together
rw_clr,601.675,0.2503677237,True,held at training medians; current and lagged terms moved together
rw_clr,628.3791667,0.2489615284,True,held at training medians; current and lagged terms moved together
rw_clr,655.0833333,0.247615259,True,held at training medians; current and lagged terms moved together
rw_clr,681.7875,0.2463240731,True,held at training medians; current and lagged terms moved together
rw_clr,708.4916667,0.2450836904,True,held at training medians; current and lagged terms moved together
rw_clr,735.1958333,0.2438903089,True,held at training medians; current and lagged terms moved together
rw_clr,761.9,0.2427405366,True,held at training medians; current and lagged terms moved together
rw_ph,7,0.277822586,False,held at training medians; current and lagged terms moved together
rw_ph,7.004166667,0.2745448538,False,held at training medians; current and lagged terms moved together
rw_ph,7.008333333,0.2712755292,False,held at training medians; current and lagged terms moved together
rw_ph,7.0125,0.2680145907,False,held at training medians; current and lagged terms moved together
rw_ph,7.016666667,0.2647620168,False,held at training medians; current and lagged terms moved together
rw_ph,7.020833333,0.2615177861,False,held at training medians; current and lagged terms moved together
rw_ph,7.025,0.2582818772,False,held at training medians; current and lagged terms moved together
rw_ph,7.029166667,0.2550542686,False,held at training medians; current and lagged terms moved together
rw_ph,7.033333333,0.2518349392,False,held at training medians; current and lagged terms moved together
rw_ph,7.0375,0.2486238676,False,held at training medians; current and lagged terms moved together
rw_ph,7.041666667,0.2454210327,False,held at training medians; current and lagged terms moved together
rw_ph,7.045833333,0.2422264134,False,held at training medians; current and lagged terms moved together
rw_ph,7.05,0.2390399886,False,held at training medians; current and lagged terms moved together
rw_ph,7.054166667,0.2358617372,False,held at training medians; current and lagged terms moved together
rw_ph,7.058333333,0.2326916384,False,held at training medians; current and lagged terms moved together
rw_ph,7.0625,0.2295296712,False,held at training medians; current and lagged terms moved together
rw_ph,7.066666667,0.2263758147,False,held at training medians; current and lagged terms moved together
rw_ph,7.070833333,0.2232300481,False,held at training medians; current and lagged terms moved together
rw_ph,7.075,0.2200923507,False,held at training medians; current and lagged terms moved together
rw_ph,7.079166667,0.2169627018,False,held at training medians; current and lagged terms moved together
rw_ph,7.083333333,0.2138410807,False,held at training medians; current and lagged terms moved together
rw_ph,7.0875,0.2107274669,False,held at training medians; current and lagged terms moved together
rw_ph,7.091666667,0.2076218397,False,held at training medians; current and lagged terms moved together
rw_ph,7.095833333,0.2045241788,False,held at training medians; current and lagged terms moved together
rw_ph,7.1,0.2014344637,False,held at training medians; current and lagged terms moved together
filt_ntu,0.03,0.2548247544,True,held at training medians; current and lagged terms moved together
filt_ntu,0.05708333333,0.2755972759,True,held at training medians; current and lagged terms moved together
filt_ntu,0.08416666667,0.2961751485,True,held at training medians; current and lagged terms moved together
filt_ntu,0.11125,0.3165649923,True,held at training medians; current and lagged terms moved together
filt_ntu,0.1383333333,0.3367730469,True,held at training medians; current and lagged terms moved together
filt_ntu,0.1654166667,0.356805202,True,held at training medians; current and lagged terms moved together
filt_ntu,0.1925,0.3766670243,True,held at training medians; current and lagged terms moved together
filt_ntu,0.2195833333,0.3963637827,True,held at training medians; current and lagged terms moved together
filt_ntu,0.2466666667,0.4159004699,True,held at training medians; current and lagged terms moved together
filt_ntu,0.27375,0.4352818229,True,held at training medians; current and lagged terms moved together
filt_ntu,0.3008333333,0.4545123412,True,held at training medians; current and lagged terms moved together
filt_ntu,0.3279166667,0.4735963031,True,held at training medians; current and lagged terms moved together
filt_ntu,0.355,0.4925377813,True,held at training medians; current and lagged terms moved together
filt_ntu,0.3820833333,0.5113406563,True,held at training medians; current and lagged terms moved together
filt_ntu,0.4091666667,0.5300086292,True,held at training medians; current and lagged terms moved together
