rw_ntu_lag_steps,rw_ph_lag_steps,alum_lag_steps,rw_flow_lag_steps,ridge,mean_validation_rmse_ntu
1,0,1,3,1.0,0.5322298704942122
1,0,1,3,10.0,0.5329612531127559
1,0,1,3,100.0,0.5450624400823365
1,0,2,0,0.01,0.5336626189938187
1,0,2,0,0.1,0.533856612864342
1,0,2,0,1.0,0.5340361574049476
1,0,2,0,10.0,0.5345078443555081
1,0,2,0,100.0,0.5465515272746756
1,0,2,1,0.01,0.5361424752221082
1,0,2,1,0.1,0.5361925548008757
1,0,2,1,1.0,0.536038091201164
1,0,2,1,10.0,0.5362908618956311
1,0,2,1,100.0,0.5481599711214031
1,0,2,2,0.01,0.5343404897206275
1,0,2,2,0.1,0.5345531327146833
1,0,2,2,1.0,0.5347987553639141
1,0,2,2,10.0,0.5353531159984747
1,0,2,2,100.0,0.5475335925274692
1,0,2,3,0.01,0.5313891544083592
1,0,2,3,0.1,0.5318091195035389
1,0,2,3,1.0,0.5325566215105506
1,0,2,3,10.0,0.533367414351008
1,0,2,3,100.0,0.5454850206872744
1,0,3,0,0.01,0.5341582675574383
1,0,3,0,0.1,0.534209104641843
1,0,3,0,1.0,0.5342827035372488
1,0,3,0,10.0,0.5348517071043126
1,0,3,0,100.0,0.54698815059288
1,0,3,1,0.01,0.53661723370494
1,0,3,1,0.1,0.5365551671386904
1,0,3,1,1.0,0.5363307447828597
1,0,3,1,10.0,0.536653592865208
1,0,3,1,100.0,0.5485896575476299
1,0,3,2,0.01,0.5346918246161023
1,0,3,2,0.1,0.5348320169035758
1,0,3,2,1.0,0.5350822280931149
1,0,3,2,10.0,0.5357320934973362
1,0,3,2,100.0,0.5479823155887075
1,0,3,3,0.01,0.5317535283974807
1,0,3,3,0.1,0.532105960173622
1,0,3,3,1.0,0.5328497220438893
1,0,3,3,10.0,0.5337415662348437
1,0,3,3,100.0,0.5459250162848542
1,1,0,0,0.01,0.5332485238428418
1,1,0,0,0.1,0.5333593469452489
1,1,0,0,1.0,0.533563527209676
1,1,0,0,10.0,0.5341950018001067
1,1,0,0,100.0,0.5463078946083175
1,1,0,1,0.01,0.5357281319757907
1,1,0,1,0.1,0.5356892512255277
1,1,0,1,1.0,0.5355539544253101
1,1,0,1,10.0,0.535988267699286
1,1,0,1,100.0,0.5479291748497467
1,1,0,2,0.01,0.5338842737966369
1,1,0,2,0.1,0.534021791516382
1,1,0,2,1.0,0.5342985010796804
1,1,0,2,10.0,0.5350337693148961
1,1,0,2,100.0,0.547290899749999
1,1,0,3,0.01,0.5309412535122029
1,1,0,3,0.1,0.53129285589134
1,1,0,3,1.0,0.5320773204034349
1,1,0,3,10.0,0.5330482906408938
1,1,0,3,100.0,0.5452328724233697
1,1,1,0,0.01,0.5338323656198156
1,1,1,0,0.1,0.5339046260409904
1,1,1,0,1.0,0.5339144504157292
1,1,1,0,10.0,0.5342457752199483
1,1,1,0,100.0,0.5462314918629882
1,1,1,1,0.01,0.5363453519784322
1,1,1,1,0.1,0.5362744759475707
1,1,1,1,1.0,0.5359411505565901
1,1,1,1,10.0,0.5360471646846524
1,1,1,1,100.0,0.5478530038957812
1,1,1,2,0.01,0.5344330747643034
1,1,1,2,0.1,0.534536736853446
1,1,1,2,1.0,0.5346394591335789
1,1,1,2,10.0,0.5350835791136643
1,1,1,2,100.0,0.547218531412234
1,1,1,3,0.01,0.5314719061344949
1,1,1,3,0.1,0.5317777533709755
1,1,1,3,1.0,0.5323754758028407
1,1,1,3,10.0,0.5330840609448215
1,1,1,3,100.0,0.5451609582866935
1,1,2,0,0.01,0.5339434040696953
1,1,2,0,0.1,0.5340856663281736
1,1,2,0,1.0,0.534196369600067
1,1,2,0,10.0,0.5346309364893549
1,1,2,0,100.0,0.5466481821327098
1,1,2,1,0.01,0.5364293306884961
1,1,2,1,0.1,0.5364263169717669
1,1,2,1,1.0,0.5362019203146496
1,1,2,1,10.0,0.5364165467730053
1,1,2,1,100.0,0.5482582342560336
1,1,2,2,0.01,0.5345941263603115
1,1,2,2,0.1,0.5347690591305946
1,1,2,2,1.0,0.5349586505975992
1,1,2,2,10.0,0.535479198098781
1,1,2,2,100.0,0.547633143400994
1,1,2,3,0.01,0.5316193097030982
1,1,2,3,0.1,0.5320106027217057
1,1,2,3,1.0,0.5327125525952949
1,1,2,3,10.0,0.5334928470696654
1,1,2,3,100.0,0.5455846823527191
1,1,3,0,0.01,0.5343896255225669
1,1,3,0,0.1,0.5344238709213898
1,1,3,0,1.0,0.5344371763224645
1,1,3,0,10.0,0.5349724072035645
1,1,3,0,100.0,0.547083664044756
1,1,3,1,0.01,0.5368481020892752
1,1,3,1,0.1,0.5367703989922112
1,1,3,1,1.0,0.5364875225100163
1,1,3,1,10.0,0.5367765775062314
1,1,3,1,100.0,0.5486865292401363
1,1,3,2,0.01,0.5348984854733667
1,1,3,2,0.1,0.5350293178437697
1,1,3,2,1.0,0.5352350068465157
1,1,3,2,10.0,0.5358558675023742
1,1,3,2,100.0,0.5480807914104552
1,1,3,3,0.01,0.5319489975721439
1,1,3,3,0.1,0.5322925546252103
1,1,3,3,1.0,0.5329993699757553
1,1,3,3,10.0,0.533865174948426
1,1,3,3,100.0,0.5460239789728
1,2,0,0,0.01,0.5334703933747658
1,2,0,0,0.1,0.5336267276349074
1,2,0,0,1.0,0.5339322027147921
1,2,0,0,10.0,0.5346147407108963
1,2,0,0,100.0,0.5467635681686895
1,2,0,1,0.01,0.5359533312738742
1,2,0,1,0.1,0.5359562861404156
1,2,0,1,1.0,0.5359193602796608
1,2,0,1,10.0,0.5364041522495996
1,2,0,1,100.0,0.5483820548034276
1,2,0,2,0.01,0.5341295183463799
1,2,0,2,0.1,0.5343014537993933
1,2,0,2,1.0,0.5346662317086686
1,2,0,2,10.0,0.5354478678597637
1,2,0,2,100.0,0.5477405926109093
1,2,0,3,0.01,0.5311901275846898
1,2,0,3,0.1,0.5315761683248705
1,2,0,3,1.0,0.5324429318838813
1,2,0,3,10.0,0.5334576394453647
1,2,0,3,100.0,0.5456778212417321
1,2,1,0,0.01,0.5340714379092355
1,2,1,0,0.1,0.5341789147475081
1,2,1,0,1.0,0.5342813768403901
1,2,1,0,10.0,0.5346646833550492
1,2,1,0,100.0,0.5466883129185898
1,2,1,1,0.01,0.5365890729182484
1,2,1,1,0.1,0.5365473692817273
1,2,1,1,1.0,0.5363046608353901
1,2,1,1,10.0,0.5364621689740682
1,2,1,1,100.0,0.5483069704015578
1,2,1,2,0.01,0.5346892033090657
1,2,1,2,0.1,0.5348213195484077
1,2,1,2,1.0,0.5350052138292591
1,2,1,2,10.0,0.5354966227124938
1,2,1,2,100.0,0.547669186765633
1,2,1,3,0.01,0.5317294124731987
1,2,1,3,0.1,0.5320641550808386
1,2,1,3,1.0,0.5327388258420425
1,2,1,3,10.0,0.5334923463789362
1,2,1,3,100.0,0.5456066789702473
1,2,2,0,0.01,0.5336779750869911
1,2,2,0,0.1,0.5338827493533674
1,2,2,0,1.0,0.5340866267734312
1,2,2,0,10.0,0.5345696077953669
1,2,2,0,100.0,0.5466017408970236
1,2,2,1,0.01,0.5361425924241622
1,2,2,1,0.1,0.5362084003433378
1,2,2,1,1.0,0.5360835942548889
1,2,2,1,10.0,0.536348186390772
1,2,2,1,100.0,0.5482067542917436
